symbol,source_symbol,security,index,sector,industry,subindustry,snapshot_date
A,A,Agilent Technologies,S&P 500,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,2026-07-15
AA,AA,Alcoa,S&P MidCap 400,Materials,Metals & Mining,Aluminum,2026-07-15
AAL,AAL,American Airlines Group,S&P MidCap 400,Industrials,Passenger Airlines,Passenger Airlines,2026-07-15
AAMI,AAMI,Acadian Asset Management Inc.,S&P SmallCap 600,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
AAON,AAON,AAON,S&P MidCap 400,Industrials,Building Products,Building Products,2026-07-15
AAP,AAP,"Advance Auto Parts, Inc.",S&P SmallCap 600,Consumer Discretionary,Specialty Retail,Automotive Retail,2026-07-15
AAPL,AAPL,Apple Inc.,S&P 500,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",2026-07-15
AAT,AAT,American Assets Trust,S&P SmallCap 600,Real Estate,Diversified REITs,Diversified REITs,2026-07-15
ABBV,ABBV,AbbVie,S&P 500,Health Care,Biotechnology,Biotechnology,2026-07-15
ABCB,ABCB,Ameris Bancorp,S&P SmallCap 600,Financials,Banks,Regional Banks,2026-07-15
ABG,ABG,Asbury Automotive Group,S&P SmallCap 600,Consumer Discretionary,Specialty Retail,Automotive Retail,2026-07-15
ABM,ABM,"ABM Industries, Inc.",S&P SmallCap 600,Industrials,Commercial Services & Supplies,Environmental & Facilities Services,2026-07-15
ABNB,ABNB,Airbnb,S&P 500,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines",2026-07-15
ABR,ABR,Arbor Realty Trust,S&P SmallCap 600,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,2026-07-15
ABT,ABT,Abbott Laboratories,S&P 500,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
ACA,ACA,"Arcosa, Inc.",S&P SmallCap 600,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
ACAD,ACAD,Acadia Pharmaceuticals,S&P SmallCap 600,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
ACGL,ACGL,Arch Capital Group,S&P 500,Financials,Insurance,Property & Casualty Insurance,2026-07-15
ACHC,ACHC,Acadia Healthcare,S&P SmallCap 600,Health Care,Health Care Providers & Services,Health Care Facilities,2026-07-15
ACI,ACI,Albertsons,S&P MidCap 400,Consumer Staples,Consumer Staples Distribution & Retail,Food Retail,2026-07-15
ACIW,ACIW,ACI Worldwide,S&P SmallCap 600,Information Technology,Software,Application Software,2026-07-15
ACLS,ACLS,"Axcelis Technologies, Inc.",S&P SmallCap 600,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
ACM,ACM,AECOM,S&P MidCap 400,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
ACMR,ACMR,"ACM Research, Inc.",S&P SmallCap 600,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
ACN,ACN,Accenture,S&P 500,Information Technology,IT Services,IT Consulting & Other Services,2026-07-15
ACT,ACT,"Enact Holdings, Inc.",S&P SmallCap 600,Financials,Financial Services,Commercial & Residential Mortgage Finance,2026-07-15
ADAM,ADAM,"Adamas Trust, Inc.",S&P SmallCap 600,Financials,Mortgage Real Estate Investment Trusts (REITs),Mortgage REITs,2026-07-15
ADBE,ADBE,Adobe Inc.,S&P 500,Information Technology,Software,Application Software,2026-07-15
ADC,ADC,Agree Realty,S&P MidCap 400,Real Estate,Retail REITs,Retail REITs,2026-07-15
ADEA,ADEA,"Adeia, Inc.",S&P SmallCap 600,Information Technology,IT Services,IT Consulting & Other Services,2026-07-15
ADI,ADI,Analog Devices,S&P 500,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,2026-07-15
ADM,ADM,Archer Daniels Midland,S&P 500,Consumer Staples,Food Products,Agricultural Products & Services,2026-07-15
ADMA,ADMA,"ADMA Biologics, Inc.",S&P SmallCap 600,Health Care,Biotechnology,Biotechnology,2026-07-15
ADNT,ADNT,Adient,S&P SmallCap 600,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
ADP,ADP,Automatic Data Processing,S&P 500,Industrials,Professional Services,Human Resource & Employment Services,2026-07-15
ADSK,ADSK,Autodesk,S&P 500,Information Technology,Software,Application Software,2026-07-15
ADT,ADT,ADT Inc.,S&P SmallCap 600,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,2026-07-15
ADUS,ADUS,Addus HomeCare Corp.,S&P SmallCap 600,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
AEE,AEE,Ameren,S&P 500,Utilities,Multi-Utilities,Multi-Utilities,2026-07-15
AEIS,AEIS,Advanced Energy,S&P MidCap 400,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
AEO,AEO,American Eagle Outfitters,S&P SmallCap 600,Consumer Discretionary,Specialty Retail,Apparel Retail,2026-07-15
AEP,AEP,American Electric Power,S&P 500,Utilities,Electric Utilities,Electric Utilities,2026-07-15
AES,AES,AES Corporation,S&P 500,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders,2026-07-15
AESI,AESI,"Atlas Energy Solutions, Inc.",S&P SmallCap 600,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services,2026-07-15
AFG,AFG,American Financial Group,S&P MidCap 400,Financials,Insurance,Multi-line Insurance,2026-07-15
AFL,AFL,Aflac,S&P 500,Financials,Insurance,Life & Health Insurance,2026-07-15
AGCO,AGCO,AGCO,S&P MidCap 400,Industrials,Machinery,Agricultural & Farm Machinery,2026-07-15
AGNT,AGNT,"eXp World Holdings, Inc.",S&P SmallCap 600,Real Estate,Real Estate Management & Development,Real Estate Services,2026-07-15
AGO,AGO,Assured Guaranty Ltd.,S&P SmallCap 600,Financials,Insurance,Property & Casualty Insurance,2026-07-15
AGX,AGX,"Argan, Inc.",S&P SmallCap 600,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
AGYS,AGYS,"Agilysys, Inc.",S&P SmallCap 600,Information Technology,Software,Application Software,2026-07-15
AHCO,AHCO,AdaptHealth Corp.,S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
AHR,AHR,American Healthcare REIT,S&P MidCap 400,Real Estate,Health Care REITs,Health Care REITs,2026-07-15
AIG,AIG,American International Group,S&P 500,Financials,Insurance,Multi-line Insurance,2026-07-15
AIN,AIN,Albany International Corp.,S&P SmallCap 600,Industrials,Machinery,Industrial Machinery & Supplies & Components,2026-07-15
AIR,AIR,AAR CORP.,S&P SmallCap 600,Industrials,Aerospace & Defense,Aerospace & Defense,2026-07-15
AIT,AIT,Applied Industrial Technologies,S&P MidCap 400,Industrials,Trading Companies & Distributors,Trading Companies & Distributors,2026-07-15
AIZ,AIZ,Assurant,S&P 500,Financials,Insurance,Multi-line Insurance,2026-07-15
AJG,AJG,Arthur J. Gallagher & Co.,S&P 500,Financials,Insurance,Insurance Brokers,2026-07-15
AKAM,AKAM,Akamai Technologies,S&P 500,Information Technology,IT Services,Internet Services & Infrastructure,2026-07-15
AKR,AKR,Acadia Realty Trust,S&P SmallCap 600,Real Estate,Retail REITs,Retail REITs,2026-07-15
ALB,ALB,Albemarle Corporation,S&P 500,Materials,Chemicals,Specialty Chemicals,2026-07-15
ALG,ALG,Alamo Group,S&P SmallCap 600,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,2026-07-15
ALGM,ALGM,Allegro MicroSystems,S&P MidCap 400,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,2026-07-15
ALGN,ALGN,Align Technology,S&P 500,Health Care,Health Care Equipment & Supplies,Health Care Supplies,2026-07-15
ALGT,ALGT,Allegiant Travel Company,S&P SmallCap 600,Industrials,Passenger Airlines,Passenger Airlines,2026-07-15
ALHC,ALHC,"Alignment Healthcare, Inc.",S&P SmallCap 600,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
ALK,ALK,Alaska Air Group,S&P MidCap 400,Industrials,Passenger Airlines,Passenger Airlines,2026-07-15
ALKS,ALKS,Alkermes plc,S&P SmallCap 600,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
ALL,ALL,Allstate,S&P 500,Financials,Insurance,Property & Casualty Insurance,2026-07-15
ALLE,ALLE,Allegion,S&P 500,Industrials,Building Products,Building Products,2026-07-15
ALLY,ALLY,Ally Financial,S&P MidCap 400,Financials,Consumer Finance,Consumer Finance,2026-07-15
ALRM,ALRM,"Alarm.Com, Inc.",S&P SmallCap 600,Information Technology,Software,Application Software,2026-07-15
ALSN,ALSN,Allison Transmission,S&P MidCap 400,Industrials,Machinery,Construction Machinery & Heavy Transportation Equipment,2026-07-15
ALV,ALV,Autoliv,S&P MidCap 400,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
AM,AM,Antero Midstream,S&P MidCap 400,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,2026-07-15
AMAT,AMAT,Applied Materials,S&P 500,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Materials & Equipment,2026-07-15
AMCR,AMCR,Amcor,S&P 500,Materials,Containers & Packaging,Paper & Plastic Packaging Products & Materials,2026-07-15
AMD,AMD,Advanced Micro Devices,S&P 500,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,2026-07-15
AME,AME,Ametek,S&P 500,Industrials,Electrical Equipment,Electrical Components & Equipment,2026-07-15
AMG,AMG,Affiliated Managers Group,S&P MidCap 400,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
AMGN,AMGN,Amgen,S&P 500,Health Care,Biotechnology,Biotechnology,2026-07-15
AMH,AMH,American Homes 4 Rent,S&P MidCap 400,Real Estate,Residential REITs,Single-Family Residential REITs,2026-07-15
AMKR,AMKR,Amkor Technology,S&P MidCap 400,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,2026-07-15
AMN,AMN,"Amn Healthcare Services, Inc.",S&P SmallCap 600,Health Care,Health Care Providers & Services,Health Care Services,2026-07-15
AMP,AMP,Ameriprise Financial,S&P 500,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
AMPH,AMPH,"Amphstar Pharmaceuticals, Inc.",S&P SmallCap 600,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
AMR,AMR,"Alpha Metallurgical Resources, Inc.",S&P SmallCap 600,Materials,Metals & Mining,Steel,2026-07-15
AMRX,AMRX,Amneal Pharmaceuticals,S&P SmallCap 600,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
AMSF,AMSF,"Amerisafe, Inc.",S&P SmallCap 600,Financials,Insurance,Property & Casualty Insurance,2026-07-15
AMT,AMT,American Tower,S&P 500,Real Estate,Specialized REITs,Telecom Tower REITs,2026-07-15
AMTM,AMTM,Amentum,S&P SmallCap 600,Industrials,Commercial Services & Supplies,Diversified Support Services,2026-07-15
AMZN,AMZN,Amazon,S&P 500,Consumer Discretionary,Broadline Retail,Broadline Retail,2026-07-15
AN,AN,AutoNation,S&P MidCap 400,Consumer Discretionary,Specialty Retail,Automotive Retail,2026-07-15
ANDE,ANDE,"The Andersons, Inc.",S&P SmallCap 600,Consumer Staples,Consumer Staples Distribution & Retail,Food Distributors,2026-07-15
ANET,ANET,Arista Networks,S&P 500,Information Technology,Communications Equipment,Communications Equipment,2026-07-15
ANF,ANF,Abercrombie & Fitch,S&P MidCap 400,Consumer Discretionary,Specialty Retail,Apparel Retail,2026-07-15
ANIP,ANIP,"ANI Pharmaceuticals, Inc.",S&P SmallCap 600,Health Care,Pharmaceuticals,Pharmaceuticals,2026-07-15
AON,AON,Aon plc,S&P 500,Financials,Insurance,Insurance Brokers,2026-07-15
AORT,AORT,Artivion,S&P SmallCap 600,Health Care,Health Care Equipment & Supplies,Health Care Equipment,2026-07-15
AOS,AOS,A. O. Smith,S&P 500,Industrials,Building Products,Building Products,2026-07-15
AOSL,AOSL,"Alpha and Omega Semiconductor, Ltd.",S&P SmallCap 600,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors,2026-07-15
APA,APA,APA Corporation,S&P 500,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
APAM,APAM,"Artisan Partners Asset Management, Inc.",S&P SmallCap 600,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
APD,APD,Air Products,S&P 500,Materials,Chemicals,Industrial Gases,2026-07-15
APG,APG,APi Group,S&P MidCap 400,Industrials,Construction & Engineering,Construction & Engineering,2026-07-15
APH,APH,Amphenol,S&P 500,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components,2026-07-15
APLE,APLE,"Apple Hospitality REIT, Inc.",S&P SmallCap 600,Real Estate,Hotel & Resort REITs,Hotel & Resort REITs,2026-07-15
APO,APO,Apollo Global Management,S&P 500,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
APOG,APOG,"Apogee Enterprises, Inc.",S&P SmallCap 600,Industrials,Building Products,Building Products,2026-07-15
APP,APP,AppLovin,S&P 500,Information Technology,Software,Application Software,2026-07-15
APPF,APPF,AppFolio,S&P MidCap 400,Information Technology,Software,Application Software,2026-07-15
APTV,APTV,Aptiv,S&P 500,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,2026-07-15
AR,AR,Antero Resources,S&P MidCap 400,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production,2026-07-15
ARCB,ARCB,ArcBest Corp.,S&P SmallCap 600,Industrials,Ground Transportation,Cargo Ground Transportation,2026-07-15
ARE,ARE,Alexandria Real Estate Equities,S&P 500,Real Estate,Office REITs,Office REITs,2026-07-15
ARES,ARES,Ares Management,S&P 500,Financials,Capital Markets,Asset Management & Custody Banks,2026-07-15
ARLO,ARLO,Arlo Technologies,S&P SmallCap 600,Information Technology,Communications Equipment,Communications Equipment,2026-07-15
